Date,Team_A,Score_A,Score_B,Team_B,Winner
10-11-2022,Verona,0,1,Juventus,Juventus
13-11-2022,Juventus,3,0,Lazio,Juventus
04-01-2023,Cremonese,0,1,Juventus,Juventus
07-01-2023,Juventus,1,0,Udinese,Juventus
13-01-2023,Napoli,5,1,Juventus,Napoli
22-01-2023,Juventus,3,3,Atalanta,Draw
29-01-2023,Juventus,0,2,Monza,Monza
07-02-2023,Salernitana,0,3,Juventus,Juventus
12-02-2023,Juventus,1,0,Fiorentina,Juventus
19-02-2023,Spezia,0,2,Juventus,Juventus
28-02-2023,Juventus,4,2,Torino,Juventus
05-03-2023,Roma,1,0,Juventus,Roma
12-03-2023,Juventus,4,2,Sampdoria,Juventus
19-03-2023,Inter,0,1,Juventus,Juventus
01-04-2023,Juventus,1,0,Verona,Juventus
08-04-2023,Lazio,2,1,Juventus,Lazio
16-04-2023,Sassuolo,1,0,Juventus,Sassuolo
23-04-2023,Juventus,0,1,Napoli,Napoli
30-04-2023,Bologna,1,1,Juventus,Draw
03-05-2023,Juventus,2,1,Lecce,Juventus
07-05-2023,Atalanta,0,2,Juventus,Juventus
14-05-2023,Juventus,2,0,Cremonese,Juventus
22-05-2023,Empoli,4,1,Juventus,Empoli
28-05-2023,Juventus,0,1,Milan,Milan
04-06-2023,Udinese,0,1,Juventus,Juventus
14-08-2022,Lazio,2,1,Bologna,Lazio
20-08-2022,Torino,0,0,Lazio,Draw
26-08-2022,Lazio,3,1,Inter,Lazio
31-08-2022,Sampdoria,1,1,Lazio,Draw
03-09-2022,Lazio,1,2,Napoli,Napoli
11-09-2022,Lazio,2,0,Verona,Lazio
18-09-2022,Cremonese,0,4,Lazio,Lazio
02-10-2022,Lazio,4,0,Spezia,Lazio
10-10-2022,Fiorentina,0,4,Lazio,Lazio
16-10-2022,Lazio,0,0,Udinese,Draw
23-10-2022,Atalanta,0,2,Lazio,Lazio
30-10-2022,Lazio,1,3,Salernitana,Salernitana
06-11-2022,Roma,0,1,Lazio,Lazio
10-11-2022,Lazio,1,0,Monza,Lazio
13-11-2022,Juventus,3,0,Lazio,Juventus
04-01-2023,Lecce,2,1,Lazio,Lecce
08-01-2023,Lazio,2,2,Empoli,Draw
15-01-2023,Sassuolo,0,2,Lazio,Lazio
24-01-2023,Lazio,4,0,Milan,Lazio
29-01-2023,Lazio,1,1,Fiorentina,Draw
06-02-2023,Verona,1,1,Lazio,Draw
11-02-2023,Lazio,0,2,Atalanta,Atalanta
19-02-2023,Salernitana,0,2,Lazio,Lazio
27-02-2023,Lazio,1,0,Sampdoria,Lazio
03-03-2023,Napoli,0,1,Lazio,Lazio
11-03-2023,Bologna,0,0,Lazio,Draw
19-03-2023,Lazio,1,0,Roma,Lazio
02-04-2023,Monza,0,2,Lazio,Lazio
08-04-2023,Lazio,2,1,Juventus,Lazio
14-04-2023,Spezia,0,3,Lazio,Lazio
22-04-2023,Lazio,0,1,Torino,Torino
30-04-2023,Inter,3,1,Lazio,Inter
03-05-2023,Lazio,2,0,Sassuolo,Lazio
06-05-2023,Milan,2,0,Lazio,Milan
12-05-2023,Lazio,2,2,Lecce,Draw
21-05-2023,Udinese,0,1,Lazio,Lazio
28-05-2023,Lazio,3,2,Cremonese,Lazio
03-06-2023,Empoli,0,2,Lazio,Lazio
13-08-2022,Lecce,1,2,Inter,Inter
20-08-2022,Sassuolo,1,0,Lecce,Sassuolo
28-08-2022,Lecce,1,1,Empoli,Draw
31-08-2022,Napoli,1,1,Lecce,Draw
05-09-2022,Torino,1,0,Lecce,Torino
11-09-2022,Lecce,1,1,Monza,Draw
16-09-2022,Salernitana,1,2,Lecce,Lecce
02-10-2022,Lecce,1,1,Cremonese,Draw
09-10-2022,Roma,2,1,Lecce,Roma
17-10-2022,Lecce,1,1,Fiorentina,Draw
23-10-2022,Bologna,2,0,Lecce,Bologna
29-10-2022,Lecce,0,1,Juventus,Juventus
04-11-2022,Udinese,1,1,Lecce,Draw
09-11-2022,Lecce,2,1,Atalanta,Lecce
12-11-2022,Sampdoria,0,2,Lecce,Lecce
04-01-2023,Lecce,2,1,Lazio,Lecce
08-01-2023,Spezia,0,0,Lecce,Draw
14-01-2023,Lecce,2,2,Milan,Draw
21-01-2023,Verona,2,0,Lecce,Verona
27-01-2023,Lecce,1,2,Salernitana,Salernitana
04-02-2023,Cremonese,0,2,Lecce,Lecce
11-02-2023,Lecce,1,1,Roma,Draw
19-02-2023,Atalanta,1,2,Lecce,Lecce
25-02-2023,Lecce,0,1,Sassuolo,Sassuolo
05-03-2023,Inter,2,0,Lecce,Inter
12-03-2023,Lecce,0,2,Torino,Torino
19-03-2023,Fiorentina,1,0,Lecce,Fiorentina
03-04-2023,Empoli,1,0,Lecce,Empoli
07-04-2023,Lecce,1,2,Napoli,Napoli
16-04-2023,Lecce,1,1,Sampdoria,Draw
23-04-2023,Milan,2,0,Lecce,Milan
28-04-2023,Lecce,1,0,Udinese,Lecce
03-05-2023,Juventus,2,1,Lecce,Juventus
07-05-2023,Lecce,0,1,Verona,Verona
12-05-2023,Lazio,2,2,Lecce,Draw
21-05-2023,Lecce,0,0,Spezia,Draw
28-05-2023,Monza,0,1,Lecce,Lecce
04-06-2023,Lecce,2,3,Bologna,Bologna
13-08-2022,Milan,4,2,Udinese,Milan
21-08-2022,Atalanta,1,1,Milan,Draw
27-08-2022,Milan,2,0,Bologna,Milan
30-08-2022,Sassuolo,0,0,Milan,Draw
03-09-2022,Milan,3,2,Inter,Milan
10-09-2022,Sampdoria,1,2,Milan,Milan
18-09-2022,Milan,1,2,Napoli,Napoli
01-10-2022,Empoli,1,3,Milan,Milan
08-10-2022,Milan,2,0,Juventus,Milan
16-10-2022,Verona,1,2,Milan,Milan
22-10-2022,Milan,4,1,Monza,Milan
30-10-2022,Torino,2,1,Milan,Torino
05-11-2022,Milan,2,1,Spezia,Milan
08-11-2022,Cremonese,0,0,Milan,Draw
13-11-2022,Milan,2,1,Fiorentina,Milan
04-01-2023,Salernitana,1,2,Milan,Milan
08-01-2023,Milan,2,2,Roma,Draw
